08077,22.80,65.00
08079,21.25,62.65
08081,20.73,66.80
08083,28.70,71.80
08085,26.35,71.15
08087,26.40,68.20
08089,29.90,72.00
08091,22.80,65.00
08093,26.37,68.40
08095,27.67,72.70
08097,26.35,68.50
08099,29.90,72.00
08101,29.90,72.00
08103,22.05,68.30
08105,19.70,60.30
08107,22.05,65.60
08109,24.13,65.77
08111,21.25,62.65
08113,26.35,71.15
08115,27.67,72.70
08117,26.37,68.40
08119,28.15,70.10
08121,27.85,71.40
08123,26.23,69.93
08125,28.30,74.95
09001,26.17,71.40
09003,23.72,70.05
09005,24.80,70.65
09007,27.55,72.25
09009,26.17,71.40
09011,27.70,72.00
09013,26.20,71.60
09015,26.07,71.30
10001,33.92,76.97
10003,32.38,76.05
10005,35.23,77.27
11001,33.50,76.30
12001,55.75,81.70
12003,51.85,81.75
12005,50.80,81.40
12007,53.50,81.50
12009,59.40,81.95
12011,65.15,82.60
12013,50.80,81.40
12015,62.60,82.35
12017,55.75,81.70
12019,53.50,81.50
12021,64.40,82.70
12023,53.50,81.50
12027,62.60,82.35
12029,53.50,81.50
12031,53.50,81.50
12033,49.50,81.27
12035,55.75,81.70
12037,50.80,81.40
12039,49.75,81.30
12041,53.50,81.50
12043,62.60,82.35
12045,50.80,81.40
12047,51.30,81.40
12049,60.80,82.00
12051,64.40,82.70
12053,58.00,81.90
12055,62.60,82.35
12057,59.40,81.95
12059,49.15,81.15
12061,60.80,82.00
12063,49.00,81.17
12065,50.52,81.35
12067,53.50,81.50
12069,59.40,81.95
12071,64.40,82.70
12073,49.75,81.30
12075,55.75,81.70
12077,50.80,81.40
12079,51.13,81.40
12081,60.80,82.00
12083,55.75,81.70
12085,63.70,82.40
12086,66.20,82.97
12087,66.20,82.97
12089,51.85,81.75
12091,49.15,81.15
12093,62.60,82.35
12095,59.40,81.95
12097,60.80,82.00
12099,65.15,82.60
12101,59.40,81.95
12103,59.40,81.95
12105,59.40,81.95
12107,55.75,81.70
12109,53.50,81.50
12111,63.70,82.40
12113,49.15,81.15
12115,62.60,82.35
12117,58.00,81.90
12119,59.40,81.95
12121,53.50,81.50
12123,52.15,81.45
12125,53.50,81.50
12127,55.75,81.70
12129,50.80,81.40
12131,49.15,81.15
12133,50.80,81.40
13001,49.65,81.65
13003,49.65,81.65
13005,49.65,81.65
13007,48.70,81.20
