FIPS formula,County Name,State Abbr,Jan,July
47051,Franklin,TN,36.7,76.6
47053,Gibson,TN,37.9,79.6
47055,Giles,TN,37.4,78
47057,Grainger,TN,36.6,75.7
47059,Greene,TN,36.05,73.7
47061,Grundy,TN,36,75.2
47063,Hamblen,TN,36.6,75.7
47065,Hamilton,TN,36.3,75.45
47067,Hancock,TN,34.7,73.6
47069,Hardeman,TN,37.9,79.6
47071,Hardin,TN,37.65,78.8
47073,Hawkins,TN,36.6,75.7
47075,Haywood,TN,37.9,79.6
47077,Henderson,TN,37.65,78.8
47079,Henry,TN,37.65,78.8
47081,Hickman,TN,37.4,78
47083,Houston,TN,37.4,78
47085,Humphreys,TN,37.4,78
47087,Jackson,TN,36.7,76.6
47089,Jefferson,TN,36.6,75.7
47091,Johnson,TN,34.77,73.33
47093,Knox,TN,36.6,75.7
47095,Lake,TN,35.97,79.23
47097,Lauderdale,TN,37.6,80
47099,Lawrence,TN,37.4,78
47101,Lewis,TN,37.4,78
47103,Lincoln,TN,36.7,76.6
47105,Loudon,TN,36.6,75.7
47107,McMinn,TN,36.6,75.7
47109,McNairy,TN,37.9,79.6
47111,Macon,TN,35.8,77.3
47113,Madison,TN,37.9,79.6
47115,Marion,TN,36.3,75.45
47117,Marshall,TN,37.4,78
47119,Maury,TN,37.4,78
47121,Meigs,TN,36.6,75.7
47123,Monroe,TN,36.05,73.7
47125,Montgomery,TN,36,78.15
47127,Moore,TN,36.7,76.6
47129,Morgan,TN,36.3,75.45
47131,Obion,TN,37.9,79.6
47133,Overton,TN,36.7,76.6
47135,Perry,TN,37.4,78
47137,Pickett,TN,35.35,76.15
47139,Polk,TN,36.05,73.7
47141,Putnam,TN,36.7,76.6
47143,Rhea,TN,36.3,75.45
47145,Roane,TN,36.3,75.45
47147,Robertson,TN,36,78.15
47149,Rutherford,TN,36.7,76.6
47151,Scott,TN,35.47,75.23
47153,Sequatchie,TN,36,75.2
47155,Sevier,TN,36.05,73.7
47157,Shelby,TN,38.4,80.47
47159,Smith,TN,36.7,76.6
47161,Stewart,TN,36.63,78.63
47163,Sullivan,TN,34.7,73.6
47165,Sumner,TN,35.4,77.63
47167,Tipton,TN,37.6,80
47169,Trousdale,TN,37.4,78
47171,Unicoi,TN,36.05,73.7
47173,Union,TN,36.6,75.7
47175,Van Buren,TN,36,75.2
47177,Warren,TN,36.7,76.6
47179,Washington,TN,36.6,75.7
47181,Wayne,TN,37.4,78
47183,Weakley,TN,37.9,79.6
47185,White,TN,36.7,76.6
47187,Williamson,TN,37.4,78
47189,Wilson,TN,37.4,78
48001,Anderson,TX,47.5,82.6
48003,Andrews,TX,42.3,79.8
48005,Angelina,TX,47.5,82.6
48007,Aransas,TX,52.8,83.4
48009,Archer,TX,43.8,83
48011,Armstrong,TX,40.7,80.95
48013,Atascosa,TX,53.9,84.55
48015,Austin,TX,51.03,83.13
48017,Bailey,TX,38.9,79.2
48019,Bandera,TX,49.85,82.9
48021,Bastrop,TX,48.75,83.5
48023,Baylor,TX,43.8,83
48025,Bee,TX,53.9,84.55
48027,Bell,TX,46.2,82.7
48029,Bexar,TX,51.7,83.73
48031,Blanco,TX,49.85,82.9
48033,Borden,TX,40.7,80.95
48035,Bosque,TX,45.1,83.3
48037,Bowie,TX,43.33,81.23
48039,Brazoria,TX,53.2,83.1
48041,Brazos,TX,49.95,83.15
48043,Brewster,TX,45.7,80.4
48045,Briscoe,TX,40.7,80.95
48047,Brooks,TX,53.9,84.55
48049,Brown,TX,44.97,82.7
48051,Burleson,TX,48.33,83.2
48053,Burnet,TX,48.27,83.03
48055,Caldwell,TX,52.4,83.7
48057,Calhoun,TX,52.8,83.4
48059,Callahan,TX,43.8,83
48061,Cameron,TX,59.9,85.4
48063,Camp,TX,47.5,82.6
48065,Carson,TX,38.9,79.2
48067,Cass,TX,45.2,81.83
48069,Castro,TX,38.9,79.2
48071,Chambers,TX,53.2,83.1
48073,Cherokee,TX,47.5,82.6
48075,Childress,TX,40.95,82.95
48077,Clay,TX,41.77,83
48079,Cochran,TX,38.9,79.2
48081,Coke,TX,44.9,82.4
48083,Coleman,TX,44.97,82.7
