geo_name,geo_sumlevel,geo_id,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Russell County, AL","county",05000US01113,104400,108600,111000,114000
"St. Clair County, AL","county",05000US01115,134600,135200,140000,142800
"Shelby County, AL","county",05000US01117,193000,192200,192800,195400
"Sumter County, AL","county",05000US01119,74100,72500,72900,73400
"Talladega County, AL","county",05000US01121,92600,93100,93400,94200
"Tallapoosa County, AL","county",05000US01123,94900,101200,103400,105200
"Tuscaloosa County, AL","county",05000US01125,153300,154500,156500,160000
"Walker County, AL","county",05000US01127,82100,81600,82800,84800
"Washington County, AL","county",05000US01129,83900,86200,85700,81100
"Wilcox County, AL","county",05000US01131,67000,72500,77300,81600
"Winston County, AL","county",05000US01133,82500,84200,81500,77700
"Aleutians East Borough, AK","county",05000US02013,118500,122400,126100,124500
"Aleutians West Census Area, AK","county",05000US02016,218400,213600,217500,211400
"Anchorage Municipality, AK","county",05000US02020,282800,286600,290500,298000
"Bethel Census Area, AK","county",05000US02050,189600,185100,165700,151400
"Bristol Bay Borough, AK","county",05000US02060,175000,186500,187500,199000
"Denali Borough, AK","county",05000US02068,192500,196100,190200,228600
"Dillingham Census Area, AK","county",05000US02070,194000,198000,195100,196400
"Fairbanks North Star Borough, AK","county",05000US02090,212500,215000,218100,224000
"Haines Borough, AK","county",05000US02100,171900,188700,211400,198400
"Hoonah-Angoon Census Area, AK","county",05000US02105,200500,219400,233400,235100
"Juneau City and Borough, AK","county",05000US02110,309900,318000,323500,329500
"Kenai Peninsula Borough, AK","county",05000US02122,204900,210400,219100,229200
"Ketchikan Gateway Borough, AK","county",05000US02130,265600,261600,252500,257100
"Kodiak Island Borough, AK","county",05000US02150,224500,241200,245400,266700
"Kusilvak County, AK","county",05000US02158,,,108000,101300
"Lake and Peninsula Borough, AK","county",05000US02164,136400,146100,145000,143800
"Matanuska-Susitna Borough, AK","county",05000US02170,218900,220100,224900,230100
"Nome Census Area, AK","county",05000US02180,142800,132700,123500,138300
"North Slope Borough, AK","county",05000US02185,154600,152700,141100,154100
"Northwest Arctic Borough, AK","county",05000US02188,131000,121900,124500,146400
"Petersburg Census Area, AK","county",05000US02195,215100,225400,218800,213400
"Prince of Wales-Hyder Census Area, AK","county",05000US02198,162500,162600,162600,171100
"Sitka City and Borough, AK","county",05000US02220,323200,335800,338600,341600
"Skagway Municipality, AK","county",05000US02230,305600,323100,324600,305700
"Southeast Fairbanks Census Area, AK","county",05000US02240,175000,203500,197300,201600
"Valdez-Cordova Census Area, AK","county",05000US02261,177700,193200,200700,227900
"Wade Hampton Census Area, AK","county",05000US02270,109300,119800,,
"Wrangell City and Borough, AK","county",05000US02275,157400,167100,171400,183300
"Yakutat City and Borough, AK","county",05000US02282,147500,156800,166000,165800
"Yukon-Koyukuk Census Area, AK","county",05000US02290,106500,100500,88800,90800
"Apache County, AZ","county",05000US04001,83100,81900,83300,77900
"Cochise County, AZ","county",05000US04003,146200,141300,143900,140700
"Coconino County, AZ","county",05000US04005,220400,217200,219300,231300
"Gila County, AZ","county",05000US04007,134000,134100,134200,139800
"Graham County, AZ","county",05000US04009,122200,123700,123300,121400
"Greenlee County, AZ","county",05000US04011,81000,83200,82700,81600
"La Paz County, AZ","county",05000US04012,88800,81800,69100,71200
"Maricopa County, AZ","county",05000US04013,176500,175600,187100,204900
"Mohave County, AZ","county",05000US04015,133900,124600,123200,130000
"Navajo County, AZ","county",05000US04017,112200,106500,104400,106100
"Pima County, AZ","county",05000US04019,167500,161700,159900,160800
"Pinal County, AZ","county",05000US04021,120200,122500,128700,142200
"Santa Cruz County, AZ","county",05000US04023,140000,137800,137000,135200
"Yavapai County, AZ","county",05000US04025,184100,181100,188200,199300
"Yuma County, AZ","county",05000US04027,118000,113500,112100,113400
"Arkansas County, AR","county",05000US05001,75500,74800,75600,77600
"Ashley County, AR","county",05000US05003,62500,63800,65700,70900
"Baxter County, AR","county",05000US05005,120000,119700,120400,123100
"Benton County, AR","county",05000US05007,147500,148500,150800,155900
"Boone County, AR","county",05000US05009,106400,109000,111700,114400
"Bradley County, AR","county",05000US05011,62900,64400,68700,72500
"Calhoun County, AR","county",05000US05013,58300,67800,69000,71800
"Carroll County, AR","county",05000US05015,120000,114300,116200,118500
"Chicot County, AR","county",05000US05017,54700,55200,57300,59600
"Clark County, AR","county",05000US05019,86600,84300,87200,92700
"Clay County, AR","county",05000US05021,62400,64100,63900,66700
"Cleburne County, AR","county",05000US05023,117900,121700,126500,126100
"Cleveland County, AR","county",05000US05025,78300,81300,84700,84000
"Columbia County, AR","county",05000US05027,78900,78500,79000,77100
"Conway County, AR","county",05000US05029,86100,88100,91500,100300
"Craighead County, AR","county",05000US05031,120700,127400,129700,131700
"Crawford County, AR","county",05000US05033,102800,107600,108600,109500
"Crittenden County, AR","county",05000US05035,99500,101100,104600,102800
"Cross County, AR","county",05000US05037,78400,81000,82400,83900
