fips2010,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,cntyname,pop2010,hu2010,state_alpha
5001748175,797,802,1026,1317,1436,Orange County,2216,1378,VT
5001753425,797,802,1026,1317,1436,Orange County,1072,489,VT
5001758075,797,802,1026,1317,1436,Orange County,4778,2076,VT
5001770675,797,802,1026,1317,1436,Orange County,1098,586,VT
5001772400,797,802,1026,1317,1436,Orange County,2588,1288,VT
5001773075,797,802,1026,1317,1436,Orange County,1173,661,VT
5001773675,797,802,1026,1317,1436,Orange County,1284,764,VT
5001774950,797,802,1026,1317,1436,Orange County,730,435,VT
5001776750,797,802,1026,1317,1436,Orange County,1039,570,VT
5001779975,797,802,1026,1317,1436,Orange County,652,368,VT
5001784175,797,802,1026,1317,1436,Orange County,3389,1479,VT
5001900475,627,697,826,1036,1168,Orleans County,941,511,VT
5001903550,627,697,826,1036,1168,Orleans County,2810,1531,VT
5001909850,627,697,826,1036,1168,Orleans County,988,509,VT
5001913150,627,697,826,1036,1168,Orleans County,1023,672,VT
5001916150,627,697,826,1036,1168,Orleans County,1086,477,VT
5001916300,627,697,826,1036,1168,Orleans County,1206,648,VT
5001917350,627,697,826,1036,1168,Orleans County,4621,2410,VT
5001928075,627,697,826,1036,1168,Orleans County,1122,762,VT
5001930175,627,697,826,1036,1168,Orleans County,762,762,VT
5001933775,627,697,826,1036,1168,Orleans County,629,433,VT
5001935575,627,697,826,1036,1168,Orleans County,1163,541,VT
5001936325,627,697,826,1036,1168,Orleans County,521,685,VT
5001940525,627,697,826,1036,1168,Orleans County,879,509,VT
5001946450,627,697,826,1036,1168,Orleans County,749,809,VT
5001948850,627,697,826,1036,1168,Orleans County,4589,2222,VT
5001948925,627,697,826,1036,1168,Orleans County,1594,870,VT
5001973525,627,697,826,1036,1168,Orleans County,1662,840,VT
5001980200,627,697,826,1036,1168,Orleans County,536,373,VT
5001981700,627,697,826,1036,1168,Orleans County,350,598,VT
5002105200,796,813,979,1278,1451,Rutland County,1056,583,VT
5002107750,796,813,979,1278,1451,Rutland County,3966,1854,VT
5002111950,796,813,979,1278,1451,Rutland County,4717,2216,VT
5002114350,796,813,979,1278,1451,Rutland County,1258,645,VT
5002114500,796,813,979,1278,1451,Rutland County,2571,1166,VT
5002116825,796,813,979,1278,1451,Rutland County,1311,734,VT
5002125375,796,813,979,1278,1451,Rutland County,2734,1282,VT
5002134450,796,813,979,1278,1451,Rutland County,706,602,VT
5002135425,796,813,979,1278,1451,Rutland County,432,193,VT
5002137685,796,813,979,1278,1451,Rutland County,811,2609,VT
5002144125,796,813,979,1278,1451,Rutland County,1059,683,VT
5002144800,796,813,979,1278,1451,Rutland County,745,426,VT
5002147200,796,813,979,1278,1451,Rutland County,1237,1043,VT
